"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
                    GICHICHE,1086,952,2038,504,3.77,540.68,,,
                    KANGONGO,1190,1262,2452,700,4.64,528.78,,,
                CHINGA SOUTH,5716,6199,11915,3266,30.3,393.24,,,
                    KARUTHI,861,970,1831,564,3.69,495.9,,,
                    KAIGUTHU,1193,1313,2506,661,3.71,675.13,,,
                    MUMBUINI,2229,2444,4673,1289,10.07,463.93,,,
                    GATHERA,1433,1472,2905,752,12.82,226.56,,,
                KARIMA,8932,10161,19093,5453,33.14,576.06,,,
                    GURA,1832,2079,3911,1049,7.55,518.15,,,
                    WITIMA,1554,1835,3389,1013,7.08,478.49,,,
                    ITEMEINI,1360,1619,2979,862,5.41,550.51,,,
                    KIHUNGIRU,2470,2694,5164,1523,5.61,919.83,,,
                    THUTI,1716,1934,3650,1006,7.49,487.44,,,
                MAHIGA,5761,6297,12058,3322,22.65,532.36,,,
                    UGACHIKU,1468,1528,2996,810,5.28,567.66,,,
                    KAMOKO,1427,1736,3163,878,5.46,579.46,,,
                    GATURUTURU,959,1023,1982,555,3.14,631.17,,,
                    MUNYANGE,877,913,1790,487,3.85,464.6,,,
                    GIKOE,1030,1097,2127,592,4.92,432.24,,,
                IRIAINI,11690,12846,24536,6670,45.79,535.78,,,
                    KIANDEMI,1678,1874,3552,954,9.85,360.79,,,
                    THUNGURI,925,996,1921,499,3.86,497.46,,,
                    KAIRUTHI,1943,2049,3992,1118,8.08,494.03,,,
                    IHURIRIO,2259,2500,4759,1266,11.03,431.62,,,
                    KIAHAGU,2284,2567,4851,1151,6.35,764.06,,,
                    GITUNDU,2601,2860,5461,1682,6.63,823.38,,,
                MUMWE,4651,5137,9788,2592,19.72,496.3,,,
                    KIHOME,778,828,1606,446,4.2,382.61,,,
                    GITUGI,1099,1136,2235,608,5.03,444.42,,,
                    RUKIRA,1842,2013,3855,988,6.97,553.01,,,
                    KAGONYE,932,1160,2092,550,3.52,593.54,,,
            MUKURWEINI,40382,43550,83932,24043,178.61,469.92,,,
                THANU,3319,3569,6888,1871,16.94,406.53,,,
                    KARABA,1226,1292,2518,677,6.87,366.56,,,
                    KIBUTIO,801,863,1664,450,3.95,420.85,,,
                    KAHARO,1292,1414,2706,744,6.12,442.15,,,
                GIATHUGU,7405,7913,15318,4311,30.66,499.55,,,
                    MIHUTI,2508,2663,5171,1520,9.38,551.5,,,
                    IGANA,1435,1625,3060,828,4.89,625.68,,,
                    MWERU,1693,1741,3434,929,7.72,444.88,,,
                    KARUNDU,1769,1884,3653,1034,8.68,420.98,,,
                GIKONDI,5658,5987,11645,3253,20.56,566.31,,,
                    KIIRUNGI,1753,1864,3617,1013,6.61,547.57,,,
                    THIMU,1433,1425,2858,788,4.7,607.53,,,
                    MUTHUTHINI,1085,1170,2255,603,3.72,606.75,,,
                    KARINDI,1387,1528,2915,849,5.54,526.52,,,
                GITHI,5215,5485,10700,3128,28.28,378.37,,,
                    ICHAMARA,1257,1315,2572,756,5.59,460.28,,,
                    KIREREMA,968,1038,2006,600,4.33,462.93,,,
                    KIHARO,1968,2065,4033,1200,11.72,344.05,,,
                    ITHANJI,1022,1067,2089,572,6.64,314.79,,,
                RUTUNE,4315,4550,8865,2481,31.85,278.31,,,
                    MUTUNDU,1659,1825,3484,986,13.16,264.66,,,
                    KARIARA,1252,1291,2543,704,8.67,293.19,,,
                    NGAMWA,1404,1434,2838,791,10.02,283.37,,,
                MUHITO,8294,9025,17319,5086,27.37,632.69,,,
                    GATURA,1028,1222,2250,619,4.76,472.36,,,
                    GATURIA,2669,2815,5484,1797,6.31,869.4,,,
                    THIHA,1657,1794,3451,973,6.49,532.06,,,
                    MUYU,1419,1551,2970,855,5.44,545.59,,,
                    MURUNDUINI,1521,1643,3164,842,4.37,723.6,,,
                GAKINDU,6176,7021,13197,3913,22.93,575.42,,,
                    GAKINDUINI,1497,1734,3231,1034,5.61,576.08,,,
                    MBIUINI,1633,1930,3563,1013,6.95,512.65,,,
                    NJIRUINI,1144,1309,2453,731,3.56,688.66,,,
                    GAIKUNDO,753,817,1570,451,2.93,536.35,,,
                    RUTHANJI,1149,1231,2380,684,3.89,612.33,,,
            TETU WEST,16274,17472,33746,9468,142.47,236.87,,,
                TETU,5669,5974,11643,3174,28.45,409.28,,,
                    GATUMBIRO,795,816,1611,407,3.14,513.27,,,
                    KARAIHU,959,1048,2007,558,4.59,437.19,,,
                    KIGOGOINI,1615,1733,3348,930,6.3,531.27,,,
                    KIRURUMI,1327,1328,2655,724,9.54,278.16,,,
                    ICHAGACHIRU,973,1049,2022,555,4.87,415.1,,,
                THEGENGE,6093,6967,13060,3726,26.21,498.31,,,
                    MATHAKWAINI,939,1030,1969,545,3.09,637.32,,,
                    KARANGIA,1237,1432,2669,751,3.89,685.71,,,
                    GATHUTHI,753,875,1628,472,3.83,425,,,
                    NDUGAMANO,1046,1191,2237,662,4.25,526.34,,,
                    KIAMUTIGA,514,627,1141,335,2.16,528.07,,,
                    HUBUINI,620,724,1344,371,3.37,399.22,,,
                    WANDUMBI,299,338,637,191,1.73,368.85,,,
                    IHETHE,685,750,1435,399,3.89,368.74,,,
                MUHOYA,4512,4531,9043,2568,87.81,102.98,,,
                    IHURURU,1302,1334,2636,784,5.75,458.12,,,
                    KANJORA,883,947,1830,485,3.19,573.7,,,
                    NGOORU,722,737,1459,408,3.89,374.78,,,
                    THATHA,756,724,1480,429,3.8,389.13,,,
                    KARUNAINI,725,738,1463,394,3.2,457.49,,,
                    KABAGE,124,51,175,68,67.97,2.57,,,
            MUNICIPALITY,59753,59520,119273,36412,167.75,711.02,,,
                MUKARO,52505,53071,105576,32494,135.01,782,,,
                    MARUA,1077,1194,2271,610,4.66,486.89,,,
                    MURUGURU,1282,1398,2680,725,5.7,470.38,,,
                    KIHATHA,876,911,1787,483,3.25,549.1,,,
                    GITHIRU,1141,1211,2352,640,5.02,468.23,,,
                    KINUNGA,640,657,1297,370,2.22,585.37,,,
                    MUNUNGAINI,1377,1644,3021,776,4.51,670.37,,,
                    MUTHUA-INI,1765,1776,3541,939,6.15,575.69,,,
                    GITATHI-INI,1326,1323,2649,706,2.77,956.66,,,
                    KAMAKWA,6843,7281,14124,4886,5.91,2388.07,,,
                    KARIA,1586,1678,3264,912,3.52,926.88,,,
                    CHORONG'I,2670,2844,5514,1446,8.14,677.16,,,
                    MATHARI,4080,3943,8023,2094,38.71,207.24,,,
                    KIHUYO,1073,1079,2152,558,4.79,449.44,,,
                    THUNGUMA,4360,4515,8875,2852,17.88,496.38,,,
                    MAJENGO,13353,11665,25018,8168,6.5,3847.86,,,
                    RIAMUKORWE,1715,1782,3497,894,6.93,504.81,,,
                    GATITU,1046,1083,2129,650,5.07,420.29,,,
                    RURING'U,6295,7087,13382,4785,3.27,4091.6,,,
                KIGANJO,7248,6449,13697,3918,32.74,418.34,,,
                    KIGANJO,2196,1251,3447,924,5.42,635.54,,,
                    NYARIBO,1595,1533,3128,985,10.64,294.05,,,
                    KIRICHU,2187,2301,4488,1329,9.66,464.47,,,
                    GACHIKA,1270,1364,2634,680,7.02,375.37,,,
            ABERDARES FOREST,0,0,0,0,311.81,0,,,
                ABERDARES FOREST,0,0,0,0,311.81,0,,,
                    ABERDARES FOREST,0,0,0,0,311.81,0,,,
        KIRINYAGA,260630,267424,528054,154220,1479.09,357.01,,,
            MWEA,88809,87452,176261,51444,516.73,341.11,,,
                MUTITHI,13554,13310,26864,7607,106.78,251.58,,,
                    RUKANGA,3039,2860,5899,1407,34.96,168.76,,,
                    KABIRIRI,4392,4309,8701,2578,38.86,223.91,,,
                    KIANDEGWA,2856,2763,5619,1724,13.68,410.68,,,
                    KINYAGA,3267,3378,6645,1898,19.28,344.6,,,
                THIBA,20488,20612,41100,12041,96,428.14,,,
                    NGUKA,5412,5656,11068,3150,17.3,639.95,,,
                    KIRATINA,6092,6059,12151,3759,16.73,726.48,,,
                    WAMUMU,8984,8897,17881,5132,61.98,288.52,,,
                NYANGATI,7700,8131,15831,4721,33.63,470.76,,,
                    NYANGATI,3936,4358,8294,2489,17.09,485.29,,,
                    KIRIMARA,1244,1227,2471,711,9.31,265.35,,,
                    MATHANGAUTA,2520,2546,5066,1521,7.23,701.14,,,
                TEBERE,22579,22337,44916,13843,82.82,542.34,,,
                    KIARUKUNGU,15686,15959,31645,10189,57.83,547.23,,,
                    GATHIGIRIRI,3904,3429,7333,2044,12.95,566.05,,,
                    MAHIGAINI,2989,2949,5938,1610,12.04,493.37,,,
                MURINDUKO,14851,13399,28250,7930,158.77,177.94,,,
                    MUGAMBACIURA,3642,3547,7189,1953,28.13,255.57,,,
                    MIUU,4281,3215,7496,2088,81.67,91.78,,,
                    KAMUNYANGE,2526,2407,4933,1467,17.66,279.4,,,
                    RIAGACHERU,4402,4230,8632,2422,31.31,275.7,,,
                KANGAI,9637,9663,19300,5302,38.75,498.13,,,
                    KATHIGA,5060,5042,10102,2826,18.35,550.48,,,
                    MATHIGAINI,1749,1753,3502,969,10.19,343.73,,,
                    KOMBU-INI,2828,2868,5696,1507,10.21,558.1,,,
            CENTRAL,62369,65237,127606,37197,172.28,740.71,,,
                MUTIRA,11221,12138,23359,6790,30.03,777.87,,,
                    KAGUMO,1182,1279,2461,737,4.66,528.44,,,
                    KABARI,4425,4873,9298,2835,9.78,950.64,,,
                    KAGUYU,2267,2518,4785,1316,7.11,672.71,,,
                    KIRUNDA,3347,3468,6815,1902,8.48,803.79,,,
                KANYEKINE,10404,10585,20989,5798,35.55,590.48,,,
                    KIAGA,1994,2016,4010,1079,8.35,480.4,,,
                    KANYEI,3019,3081,6100,1715,9.15,666.91,,,
                    KATHARE,2759,2777,5536,1573,9.05,611.47,,,
                    KIANJEGE,2632,2711,5343,1431,9,593.8,,,
                KUTUS,7089,7162,14251,4397,25.86,551.16,,,
                    KANGU,1210,1261,2471,673,7.37,335.23,,,
                    KAMIGUA,2780,2791,5571,1818,9.69,574.96,,,
                    KITHIRITI,3099,3110,6209,1906,8.8,705.9,,,
                KERUGOYA,12743,14046,26789,8298,20.7,1294.44,,,
                    KAGUYU,8195,9356,17551,5667,9.99,1757.45,,,
                    KAITHERI,1966,2000,3966,1208,3.47,1141.69,,,
                    KIMANDI,2582,2690,5272,1423,7.24,728.67,,,
                INOI,13180,14147,27327,7937,34.16,800.06,,,
                    NDIMI,3529,3678,7207,2062,7.59,949.93,,,
                    KARIKO,4795,5145,9940,2911,12.04,825.43,,,
                    THAITA,2972,3169,6141,1752,8.41,730.61,,,
                    MBETI,1884,2155,4039,1212,6.12,659.79,,,
                KOROMA,7732,7159,14891,3977,25.99,572.87,,,
                    NDUINI,2789,2659,5448,1488,10.39,524.3,,,
                    NGARU,2939,2957,5896,1548,10.54,559.65,,,
                    KARIA,2004,1543,3547,941,5.07,699.95,,,
            NDIA,48323,51192,99515,29491,210.77,472.15,,,
                MUKURE,8765,9511,18276,5263,35.66,512.48,,,
                    KANYOKORA,2545,2760,5305,1560,9.61,551.91,,,
                    KAGIOINI,2184,2294,4478,1227,7.15,626.04,,,
                    MUKURE,4036,4457,8493,2476,18.9,449.44,,,
                KIINE,11936,12976,24912,7418,51.38,484.86,,,
                    NGUGU-INE,2715,3075,5790,1716,12.02,481.52,,,
                    KIBIGOTI,3184,3422,6606,1926,13.21,499.94,,,
                    KIANGAI,4061,4490,8551,2629,15.94,536.34,,,
                    RUIRU,1976,1989,3965,1147,10.2,388.77,,,
                MWERUA,13870,14514,28384,8481,53.59,529.7,,,
                    MAITHARUI,2255,2340,4595,1241,11.07,414.92,,,
                    KIANJANGA,2164,2253,4417,1204,7.44,593.76,,,
                    GITAKU,3919,3924,7843,2351,16.18,484.85,,,
                    KITHUMBU,5532,5997,11529,3685,18.9,610.13,,,
                KARITI,13752,14191,27943,8329,70.14,398.38,,,
                    NYANGIO,2229,2295,4524,1240,12.8,353.53,,,
                    MUKUI,1871,1922,3793,1062,6.4,592.85,,,
                    THIGIRICHI,2313,2412,4725,1330,18.7,252.65,,,
                    GACHARU,2523,2592,5115,1441,15.57,328.42,,,
                    SAGANA,4816,4970,9786,3256,16.67,587.04,,,
            GICHUGU,61129,63543,124672,36088,229.31,543.68,,,
                NJUKIINI,11986,12204,24190,6775,60.05,402.8,,,
                    MIRICHI,3235,3392,6627,1832,14.32,462.64,,,
                    KANJUU,3942,3914,7856,2218,22.29,352.47,,,
                    NGERWE,2099,2136,4235,1233,9.26,457.1,,,
                    NGIRIAMBU,2710,2762,5472,1492,14.18,385.97,,,
                NGARIAMA,8962,9102,18064,5411,37.43,482.66,,,
                    RUNGETO,2494,2556,5050,1507,11.9,424.45,,,
                    KABARI,2087,2218,4305,1282,7.91,543.97,,,
                    THIRIKWA,1837,1774,3611,1125,7.27,496.51,,,
                    NYANGENI,2544,2554,5098,1497,10.34,492.98,,,
                KABARE,8150,8387,16537,4662,29.72,556.51,,,
                    KIRITINI,2431,2562,4993,1386,6.43,776.82,,,
                    RUKENYA,1973,1978,3951,1085,8.46,467.03,,,
                    MIKARARA,2201,2176,4377,1246,9.89,442.71,,,
                    NGIROCHE,1545,1671,3216,945,4.94,650.85,,,
                KARUMANDI,11701,12201,23902,6953,38.58,619.51,,,
                    THUMAITA,4386,4627,9013,2631,14.58,618.25,,,
                    GUAMA,2695,2756,5451,1579,8.2,664.63,,,
                    KIARURI,2660,2874,5534,1639,7.58,730.32,,,
                    KARIRU,1960,1944,3904,1104,8.22,474.65,,,
                KIRIMA,10426,11526,21952,6390,32.72,670.97,,,
                    MUTIGE,1941,2182,4123,1217,5.75,716.88,,,
                    GACHIGI,4192,4726,8918,2562,13.68,651.89,,,
                    NJUKU,4293,4618,8911,2611,13.29,670.76,,,
                BARAGWI,9904,10123,20027,5897,30.82,649.85,,,
                    RWAMBITI,2850,2959,5809,1644,11.24,516.89,,,
                    THIMU,2219,2264,4483,1293,5.77,776.61,,,
                    RAIMU,2183,2295,4478,1466,5.3,845.03,,,
                    GATU,2652,2605,5257,1494,8.51,617.92,,,
            MT KENYA FOREST,0,0,0,0,350,0,,,
                MT KENYA FOREST,0,0,0,0,350,0,,,
                    MT KENYA FOREST,0,0,0,0,350,0,,,
        MURANGA NORTH,166522,179761,346283,97701,934.67,370.49,,,
            KIHARU,45985,48058,94043,26812,241.57,389.29,,,
                TOWNSHIP,13421,14063,27484,9063,19.7,1394.94,,,
                    NJOGU-INI,3677,3397,7074,1915,6.7,1055.85,,,
                    MUKUYU,6084,6764,12848,4458,7.58,1695.9,,,
                    KARURI,3660,3902,7562,2690,5.43,1393.4,,,
                GATURI,9546,10309,19855,5486,44.81,443.12,,,
                    GEITWA/MUGEKA,2679,2770,5449,1490,13.25,411.21,,,
                    GATHUKIINI,3745,4258,8003,2248,14.15,565.43,,,
                    GAKUYU,3122,3281,6403,1748,17.4,367.93,,,
                GIKINDU,7453,7619,15072,4116,82.76,182.11,,,
                    GITHURI,1564,1536,3100,857,29.79,104.06,,,
                    MIRIRA,2822,2993,5815,1548,33.86,171.73,,,
                    KAMBIRWA,3067,3090,6157,1711,19.11,322.17,,,
                KIMATHI,6683,6850,13533,3443,58.24,232.35,,,
                    NYAKIHAI,3006,3008,6014,1507,24.25,248.02,,,
                    RURII,2182,2240,4422,1120,23.29,189.84,,,
                    KIGONGO,1495,1602,3097,816,10.7,289.36,,,
                MBIRI,8882,9217,18099,4704,36.06,501.95,,,
                    MARAGI,1969,1999,3968,1085,5.05,785.21,,,
                    GIKANDU,2141,2107,4248,1107,9.74,436.1,,,
                    MUCHUNGUCHA,4772,5111,9883,2512,21.26,464.8,,,
            KAHURO,41505,45528,87033,24320,168.21,517.41,,,
                MURARANDIA,13915,15028,28943,8123,60.03,482.15,,,
                    GATHAITHI,3205,3364,6569,1805,18.32,358.51,,,
                    MURARANDIA,2824,3002,5826,1646,13.9,419.26,,,
                    THERI,2546,2796,5342,1563,8.17,654.23,,,
                    KAGANDA,2460,2739,5199,1421,10.03,518.27,,,
                    GATUYA,2880,3127,6007,1688,9.61,624.88,,,
                KAHUHIA,6606,7453,14059,3835,26.72,526.21,,,
                    MUKANGU,1537,1584,3121,845,7.21,432.58,,,
                    GATHERU,2427,2841,5268,1470,10.69,492.66,,,
                    KIROGO,2642,3028,5670,1520,8.81,643.62,,,
                MUGOIRI,13879,15313,29192,8207,57.38,508.74,,,
                    GATUNDU,2355,2604,4959,1370,9.63,515.12,,,
                    MIRICHU,3894,4296,8190,2250,16.31,502.29,,,
                    KIRIA,4232,4527,8759,2440,18.8,465.95,,,
                    KAHURO,3398,3886,7284,2147,12.65,575.78,,,
                WEITHAGA,7105,7734,14839,4155,24.08,616.21,,,
                    WANGU,1873,1964,3837,1070,6.82,562.27,,,
                    WANJENGI,2925,3254,6179,1770,10.05,615.06,,,
                    KAHUTI,2307,2516,4823,1315,7.21,668.88,,,
            KANGEMA,36906,40082,76988,21814,173.63,443.4,,,
                KANYENYAINI,7397,8102,15499,4406,29.56,524.36,,,
                    KANYENYAINI,1835,1889,3724,1096,7.82,476.39,,,
                    KIBUTHA,1087,1294,2381,638,4.46,534.02,,,
                    GITHIGA,2158,2383,4541,1293,7.44,610.46,,,
                    GITUGU,1574,1750,3324,956,5.82,571.06,,,
